2019_rank|City|State_Code|2019_estimate|2010_Census|Change
1|New York[d]|NY|8336817|8175133|0.0198
2|Los Angeles|CA|3979576|3792621|0.0493
3|Chicago|IL|2693976|2695598|−0.06%            
4|Houston[3]|TX|2320268|2100263|0.1048
5|Phoenix|AZ|1680992|1445632|0.1628
6|San Antonio|TX|1547253|1327407|0.1656
7|San Diego|CA|1423851|1307402|0.0891
8|Dallas|TX|1343573|1197816|0.1217
9|San Jose|CA|1021795|945942|0.0802
10|Austin|TX|978908|790390|0.2385
11|Fort Worth|TX|909585|741206|0.2272
12|Columbus|OH|898553|787033|0.1417
13|San Francisco[g]|CA|881549|805235|0.0948
14|Denver[i]|CO|727211|600158|0.2117
15|El Paso|TX|681728|649121|0.0502
16|Tucson|AZ|548073|520116|0.0538
17|Fresno|CA|531576|494665|0.0746
18|Mesa|AZ|518012|439041|0.1799
19|Sacramento|CA|513624|466488|0.101
20|Colorado Springs|CO|478221|416427|0.1484
21|Long Beach|CA|462628|462257|0.0008
22|Oakland|CA|433031|390724|0.1083
23|Arlington|TX|398854|365438|0.0914
24|Bakersfield|CA|384145|347483|0.1055
25|Cleveland|OH|381009|396815|−3.98%                           
26|Aurora|CO|379289|325078|0.1668
27|Anaheim|CA|350365|336265|0.0419
28|Santa Ana|CA|332318|324528|0.024
29|Riverside|CA|331360|303871|0.0905
30|Corpus Christi|TX|326586|305215|0.07
31|Stockton|CA|312697|291707|0.072
32|Cincinnati|OH|303940|296943|0.0236
33|Plano|TX|287677|259841|0.1071
34|Irvine|CA|287401|212375|0.3533
35|Chula Vista|CA|274492|243916|0.1254
36|Toledo|OH|272779|287208|−5.02%                               
37|Laredo|TX|262491|236091|0.1118
38|Chandler|AZ|261165|236123|0.1061
39|Lubbock|TX|258862|229573|0.1276
40|Scottsdale|AZ|258069|217385|0.1872
41|Buffalo|NY|255284|261310|−2.31%                           
42|Gilbert[q]|AZ|254114|208453|0.219
43|Glendale|AZ|252381|226721|0.1132
44|Fremont|CA|241110|214089|0.1262
45|Garland|TX|239928|226876|0.0575
